item.copper_pickaxe 铜镐
item.wand 选区杖
item.wand.desc 用来为世界修改指令选取两点。
item.frozen_stone 冻结石块
item.grass_tall_snowy 覆雪草
item.grass_tall_dry 干草
item.dead_bush 枯灌木
item.desert_bush 沙漠灌木
item.agave 龙舌兰
item.cactus_flower 仙人掌花
item.cactus_small 小仙人掌
item.cactus 仙人掌
item.maple_sapling 枫树幼苗
item.oak_sapling 橡树幼苗
item.birch_sapling 白桦树幼苗
item.frost_algae 寒霜藻
item.slime_algae 黏液藻
item.pine_leaves 松树叶
item.forest_pickaxe 森林镐
item.forest_pickaxe.desc 垂直下挖，稳如老狗：）
item.entwiner 缠绕器
item.entwiner.desc 魔法般地将触发器和目标连接起来。
item.heart_beet 心甜菜
item.heart_beet.desc 生命值上限增加 1 点。
item.iron_chest 铁箱子
item.gold_chest 金箱子
item.dungeon_bricks 森林地牢砖
item.dungeon_grate 森林地牢格栅
item.dungeon_lamp 地牢灯
item.dungeon_lamp_blue 蓝色地牢灯
item.dungeon_pressure_plate 地牢压力板
item.dungeon_door 地牢门
item.pressure_plate 压力板
item.button 按钮
item.splitter 分离器
item.splitter.desc 将信号分离至相邻方块
item.pulser 脉冲发生器
item.pulser.desc 延长纠缠脉冲
item.dart_trap 飞镖陷阱
item.dart_trap.desc 发射毒镖

item.thorn_blade 荆棘之刃
item.regen_charm 再生石
item.regen_charm.desc 每4秒恢复1点生命值。
item.jet_boots 喷气靴
item.jet_boots.desc 在空中跳跃时可激活，拥有 1 秒的持续时长。
item.spring_boots 弹簧靴
item.spring_boots.desc 将跳跃高度提升至 2 米。
item.paraglider 滑翔伞
item.paraglider.desc 从高处缓降。
item.jumping_bean 跳跃豆
item.jumping_bean.desc 能提升20%的近战伤害，但代价是...?
item.sneakers 潜行靴
item.sneakers.desc 使你能够潜行。
item.gecko_gloves 壁虎手套
item.gecko_gloves.desc 戴上这双手套即可攀爬墙面。
item.speed_boots 疾跑靴
item.speed_boots.desc 穿上它便能奔跑。
item.oak_log 橡木原木
item.pine_log 松木原木
item.pine_sapling 松树树苗
item.birch_planks 桦木木板
item.maple_planks 枫木木板
item.pine_planks 松木木板
item.framed_glass 带框玻璃
item.red_brick 红砖
item.lamp_cyan 青灯
item.lamp_magenta 品红灯
item.lamp_yellow 黄灯
item.copper_bars 铜栏杆
item.iron_bars 铁栏杆
item.silver_bars 银栏杆
item.gold_bars 金栏杆
item.concrete 混凝土
item.concrete.desc 移动速度提升1.2倍
item.asphalt 沥青
item.asphalt.desc 移动速度提升1.2倍
item.thick_birch_log 粗桦木原木
item.thick_maple_log 粗枫木原木
item.thick_oak_log 粗橡木原木
item.thick_pine_log 粗松木原木
item.trampoline 蹦床
item.trampoline.desc 让你弹跳得极高
item.launch_pad 发射台
item.launch_pad.desc 将你弹射到空中
item.cloth 布料
item.cloth_light_grey 浅灰色布料
item.cloth_dark_grey 深灰色布料
item.cloth_black 黑色布料
item.cloth_red 红色布料
item.cloth_orange 橙色布料
item.cloth_yellow 黄色布料
item.cloth_lime 黄绿色布料
item.cloth_green 绿色布料
item.cloth_cyan 青色布料
item.cloth_blue 蓝色布料
item.cloth_dark_blue 深蓝色布料
item.cloth_purple 紫色布料
item.cloth_pink 粉色布料
item.cloth_light_pink 浅粉色布料
item.cloth_brown 棕色布料

item.weak_health_potion 弱效治疗药水
item.weak_health_potion.desc 恢复10点生命值
item.poison_potion 剧毒药水
item.poison_potion.desc 不推荐拿来喝。
item.speed_potion 迅捷药水
item.regen_potion 再生药水
item.regen_potion.desc 5分钟内缓慢恢复生命值。
item.armour_potion 防御药水
item.armour_potion.desc 5分钟内提升4点防御力。
item.respawn_potion 回返药水
item.respawn_potion.desc 回返药水
item.flight_potion 飞行药水
item.flight_potion.desc 允许你在1分钟内进行短距离飞行。
item.cure_cube 治疗块
item.cure_cube.desc 装备后可使你免疫中毒。
item.cotton_plant 棉花植株
item.cotton_plant.desc 可种植并收获。
item.decoration_station 装饰台
item.decoration_station.desc 用于制作装饰性方块。
item.dungeon_spawner 地牢刷怪笼
item.copper_bow 铜弓
item.iron_bow 铁弓
item.silver_bow 银弓
item.gold_bow 金弓
item.copper_crossbow 铜弩
item.iron_crossbow 铁弩
item.silver_crossbow 银弩
item.gold_crossbow 金弩
item.reinforced_arrow 强化箭矢
item.flaming_arrow 火焰箭矢
item.explosive_arrow 爆炸箭矢
item.root_arrow 根须箭矢
item.rock_melon 岩瓜
item.watermelon 西瓜
item.brick 砖块
item.brick.desc 用来扔向你不喜欢的东西
item.throwable_torch 粘性火把
item.throwable_torch.desc 可投掷出去照亮洞穴
item.squeaky_toy 尖叫玩具
item.whoopee_cushion 放屁垫
item.air_horn 空气号角
item.glow_worms 萤火虫
item.heart_beet_block 心甜菜块
item.sandstone_brick_small 小砂岩砖
item.toy_crate 玩具板条箱
item.sprinkler 洒水器
item.soil 干土
item.wet_soil 湿土
item.arrow_root_seed 根矢草种子
item.bomb_berry_seed 爆爆莓种子
item.rock_melon_seed 岩瓜种子
item.watermelon_seed 西瓜种子
item.frying_pan 平底锅
item.boomerang 回旋镖
item.throwable_glow_bean 荧光豆
item.watering_can 洒水壶
item.watering_can.desc 永远装满水，问就是玄学。
item.hoe 锄头
item.tomato 番茄
item.bread 面包
item.wheat 小麦
item.bomb_berry 爆爆莓
item.bomb_berry.desc 警告：切勿在室内食用。
item.ominous_deer_skull 不祥鹿头骨
item.oak_leaves 橡树叶
item.placed_glow_bean 荧光豆（方块）
item.weapon_crate 武器板条箱
item.forest_chest 森林宝箱
item.tomato_seed 番茄种子
item.wheat_seed 小麦种子
item.glow_bean_seed 荧光豆种子
item.weeds 杂草
item.spider_web 蜘蛛网
item.pizza_cutter 披萨刀
item.crowbar 撬棍
item.melon_slicer 西瓜切刀
item.forest_axe 森林斧
item.snowball_cannon 雪球炮
item.snowball 雪球
item.forest_ingot 森林锭
item.eightball 黑八
item.dice 骰子
item.basketball 篮球
item.bucket 桶
item.water_bucket 水桶
item.lava_bucket 熔岩桶
item.sponge 海绵
item.lava_sponge 熔岩海绵
item.forest_blessing 森林祝福
item.forest_blessing.desc 额外获得 2 秒体力
item.minecart 矿车
item.minecart.desc 放置在铁轨上即可乘坐
item.underground_bush 灌木丛
item.undergrowth_rock 林下岩石
item.forest_flower 森林之花
item.lava_lily 熔岩百合
item.bubble_glass 气泡玻璃
item.undergrowth_crate 林下板条箱
item.spike_trap 尖刺陷阱
item.dynamite_trap 炸药陷阱
item.basket_hoop 篮球框
item.rail 铁轨
item.painting_child 画作元数据物品
item.painting_melon 画作（西瓜）
item.painting_melon.desc 一幅静物画……或者是自画像。
item.painting_triangle 画作（三角）
item.painting_triangle.desc 生命的基本构建块。
item.painting_stars 画作（星辰）
item.painting_pipes 画作（管道）
item.painting_cloud 画作（粉红云）
item.painting_waves 画作（波浪）
item.painting_biome 画作（生态）
item.painting_deer 画作（鹿）
item.spawn_pointer 重生锚
item.spawn_pointer.desc 右键点击以设置重生点。
item.forest_helmet 森林头盔
item.forest_chestplate 森林胸甲
item.forest_greaves 森林护腿
item.skull_fragment 头骨碎片

item.cobalt_pickaxe 钴蓝镐
item.cobalt_sword 钴蓝剑
item.arctic_blade 寒冰之刃
item.big_sword 巨剑
item.baguette 法棍面包
item.frosted_boomerang 寒霜回旋镖
item.cobalt_spear 钴蓝长矛
item.cobalt_axe 钴蓝斧
item.cobalt_helmet 钴蓝头盔
item.cobalt_chestplate 钴蓝胸甲
item.cobalt_greaves 钴蓝护腿
item.cobalt_bow 钴蓝弓
item.cobalt_crossbow 钴蓝弩
item.snowball_splitter 雪球霰弹枪
item.flamethrower 火焰喷射器
item.fart_gun 臭气枪
item.cobalt_ingot 钴蓝锭
item.copper_coin 铜币
item.silver_coin 银币
item.gold_coin 金币
item.allumerium_coin 艾露梅晶币
item.mining_potion 采矿药水
item.mint 薄荷
item.red_meat 生肉
item.steak 牛排
item.red_mushroom_item 红蘑菇
item.glowing_mushroom_item 发光蘑菇
item.magnet 磁铁
item.magnet.desc 吸引4米范围内的物品
item.scuba_helmet 水肺头盔
item.scuba_helmet.desc 允许在水下呼吸
item.curse_of_core 核心诅咒
item.curse_of_core.desc 可能会带来痛苦与磨难
item.cosmic_radiation 宇宙辐射
item.cosmic_radiation.desc 可能导致比特位翻转
item.paint_roller 油漆滚筒
item.paint_roller_earthy 油漆滚筒（大地色盘）
item.paint_roller_pastel 油漆滚筒（柔和色盘）
item.wallpaper 墙纸
item.wallpaper.desc 仅能贴在墙板上
item.permafrost 永冻土
item.cobalt_ore 钴蓝矿
item.amethyst_ore 紫水晶矿
item.sapphire_ore 蓝宝石矿
item.diamond_ore 钻石矿
item.cobalt_plated_stone 镀钴石块
item.alpha_shop Alpha 商店
item.alpha_shop.desc （添加 NPC 后将移除）
item.white_torch 白色火把
item.ice_crate 冰霜板条箱
item.ice_chest 冰霜宝箱
item.table 桌子
item.chair 椅子
item.basic_lamp 基础灯具
item.snow_dungeon_bricks 冰雪地牢砖
item.snow_dungeon_lamp 冰雪地牢灯
item.pressure_plate_small 小型压力板
item.icycle 冰柱
item.switch 开关
item.cobalt_bars 钴蓝栏杆
item.drywall 墙板
item.cotton_candy 棉花糖
item.amethyst_block 紫水晶块
item.sapphire_block 蓝宝石块
item.diamond_block 钻石块
item.mint_seed 薄荷种子
item.painting_blue 画作（蓝色）
item.painting_city 画作（城市）
item.painting_desolate 画作（荒凉）
item.painting_figure 画作（人物）
item.painting_bird 画作（鸟）
item.painting_undergrowth 画作（林下）
item.structure_save 结构保存
item.structure_load 结构加载
item.structure_latch 结构锁存
item.structure_marker 结构标记
item.structure_noreplace 结构不替换
item.fluid.empty 空流体
item.fluid.water 水
item.fluid.lava 熔岩
item.raygun_death 高爆射枪
item.ice_torch 冰霜火把
item.arcade_carpet 街机地毯
item.painting_snowman 画作（雪人）
item.big_snowball 大雪球
item.big_snowball.desc 想堆个雪人吗？
item.snow_boss_base 雪人首领基座
item.evil_tophat 邪恶礼帽
item.evil_tophat.desc 或许能创造生命
item.blank_block 空白方块
item.grid_block 网格方块

item.carving_knife 雕刻刀
item.carving_knife.desc 用于雕刻南瓜
item.spawn_fuzzy 生成精灵
item.spawn_fuzzy_green 生成森林精灵
item.spawn_fuzzy_ice 生成寒冰精灵
item.spawn_hog 生成野猪
item.spawn_skeleton 生成骷髅
item.spawn_wizard 生成巫师
item.spawn_wizard_ice 生成寒冰巫师
item.spawn_mushroomer 生成蘑菇怪
item.spawn_nightflyer 生成夜行者
item.spawn_snowman 生成雪人
item.spawn_stone_golem 生成石傀儡
item.spawn_yeti 生成雪怪
item.spawn_zombie 生成僵尸
item.spawn_pukeko 生成紫水鸡
item.poo_gem 便便宝石
item.lush_grass 茂盛草丛
item.dry_grass 秋色草丛
item.grass_tall_autumn 高秋色草
item.grass_tall_lush 高茂盛草
item.terracotta_tiles 赤陶瓦
item.ritual_torch 仪式火把
item.spawner_block 刷怪笼
item.sign 告示牌
item.glass_sign 玻璃告示牌
item.screen_sign 屏幕告示牌
item.invisible_sign 隐形告示牌
item.carved_pumpkin 南瓜
item.pumpkin_seed 南瓜种子

item.basic_rod 鱼竿
item.basic_rod.desc 用于钓鱼
item.sturdy_rod 坚固鱼竿
item.sturdy_rod.desc 专治鱼老赖
item.obsidian_rod 黑曜石鱼竿
item.obsidian_rod.desc 鱼：吓哭了
item.water_walking_potion 冰霜行者药水
item.water_walking_potion.desc 让你能在水面上行走
item.crate_potion 板条箱药水
item.crate_potion.desc 增加钓上板条箱的几率
item.fish_fillet 鱼片
item.gormet_fish_fillet 美味鱼片
item.gormet_fish_fillet.desc 味道好极了！
item.worm 蠕虫
item.worm.desc 用作鱼饵以吸引更稀有的鱼
item.bug_bait 虫饵
item.bug_bait.desc 用作鱼饵以吸引更稀有的鱼
item.rage_bait 愤怒鱼饵
item.rage_bait.desc 能吸引更稀有的鱼，但鱼会急
item.magnetic_bait 磁力鱼饵
item.magnetic_bait.desc 增加钓上板条箱的几率
item.fish_catfish 鲶鱼
item.fish_walleye 大眼梭鲈
item.fish_carp 鲤鱼
item.fish_tuna 金枪鱼
item.fish_salmon 鲑鱼
item.fish_murray_cod 墨瑞鳕
item.fish_herring 鲱鱼
item.fish_minnow 米诺鱼
item.fish_lanternfish 灯笼鱼
item.fish_crystalfin 水晶鳍鱼
item.fish_fangtooth 尖牙鱼
item.fish_blobfish 水滴鱼
item.fish_nautilus 鹦鹉螺
item.fish_smoulderfish 闷燃鱼
item.fish_obsidieel 黑曜鳗
item.fish_stonefish 石鱼
item.fish_rainbow_trout 虹鳟鱼
item.packed_dirt 压实土块
item.seaweed 海草
item.lilypad 睡莲
item.elevator 电梯
item.elevator.desc 跳跃或潜行以上下传送

item.logic_wire 逻辑导线
item.logic_gate 逻辑门
item.logic_repeater 逻辑中继器
item.logic_not 逻辑非门
item.logic_and 逻辑与门
item.logic_xor 逻辑异或门
item.logic_toggle 逻辑触发器
item.logic_memory 逻辑内存
item.logic_pixel 逻辑像素点
item.painting_wreath 画作（花环）

item.forest_hammer 森林锤
item.forest_hammer.desc 可以塑形更坚固的方块
item.door_locker 门锁
item.door_locker.desc 用于锁门
item.forest_key 森林钥匙
item.forest_key.desc 解锁森林门
item.iron_key 铁钥匙
item.iron_key.desc 解锁普通门
item.jelly_spoon 果冻勺
item.jelly_spoon.desc 让你能穿过森林果冻
item.spoon_fragment 勺子碎片
item.spoon_fragment.desc 可以合成有用的物品
item.dungeon_bricks_unstable 不稳定的森林地牢砖
item.dungeon_bricks_unstable.desc 踩上去会碎裂
item.forest_jelly 森林果冻
item.forest_jelly.desc 时而凝固，时而流动
item.bone_club 骨棒
item.boimp_potion Boimp药水
item.hanging_vines 垂藤
item.hanging_flowers 垂花
item.myosotis 勿忘我
item.wallpaper_wood 木板壁纸
item.wallpaper_stone 石砖壁纸
item.pebbles 圆石
item.grassy_stone 长草的石头
item.wallpaperable_wood 壁纸基材（木头）
item.wallpaperable_stone 壁纸基材（石头）

item_tag.can_place 可放置
item_tag.can_consume 可消耗
item_tag.axe_power 斧头
item_tag.pickaxe_power 镐子
item_tag.swing_speed 冷却
item_tag.hammer 锤子
item_tag.cant_mine 无法挖掘
item_tag.restores_health 恢复
item_tag.melee_damage 混战
item_tag.defence 防御
item_tag.required_ammo 所需弹药
item_tag.ammo 弹药
item_tag.ranged_damage 范围
item_tag.trinket 饰品
item_tag.can_block Can Block
item_tag.knockback 击退
item_tag.demo_locked 在Demo版已锁定

settings.field_of_view 视野
settings.max_fps 最大帧率
settings.render_distance 渲染距离
settings.mouse_sensitivity 鼠标灵敏度
settings.master_volume 主音量
settings.max_mesh_threads 最大网格生成线程数
settings.max_mesh_uploads 最大网格上传数（每帧）
settings.show_control_hints 显示操作提示
settings.auto_scale_ui 自动界面缩放
settings.manual_ui_scale 手动界面缩放
settings.world_volume 世界音量
settings.music_volume 音乐音量
settings.ui_volume 界面/玩家音量
settings.ambient_volume 环境音量
settings.autosave_interval 自动保存间隔（分钟）
settings.autosave_enabled 自动保存
settings.autosave_indicator 自动保存指示器
settings.panicsave_enabled 崩溃时创建恢复存档
settings.view_bobbing 视角晃动
settings.screen_shake 屏幕震动
settings.allow_noclip 允许穿墙
settings.allow_infinite_item 允许无限物品
settings.allow_creative_menu 允许创造菜单
settings.allow_godmode 无敌
settings.mob_spawning 怪物生成
settings.current_language 当前语言
settings.language_info 重启游戏以完全应用语言设置
settings.cave_culling 洞穴渲染优化
settings.header_basic 基础设置
settings.vsync 垂直同步
settings.view_bobbing_intensity 视角晃动强度
settings.header_user_interface 界面设置
settings.header_advanced 高级设置
settings.pixel_scale 像素缩放
settings.dither_shader 抖动着色器
settings.invert_mouse 鼠标反转
settings.leaf_sway 树叶摇摆
settings.dynamic_light 动态光源
settings.disable_launch_message 禁用启动信息
settings.show_day_count 显示天数
settings.infinite_stamina 无限体力
settings.edit_adventure_blocks 编辑冒险模式方块
settings.disable_mobs 禁用怪物
settings.header_controls 控制设置
settings.header_keybinds 按键绑定
settings.slab_placement_mode 台阶放置模式
settings.reset_shape_on_swap 切换时重置形状
settings.world_settings 世界权限
settings.player_settings 玩家权限
settings.button_reset_keybinds 重置按键绑定
settings.audio_header 视频
settings.misc_header 杂项
settings.assets_info 资源包
settings.button_open_assets 打开资源包文件夹

settings_category.camera 视角
settings_category.video 显示
settings_category.audio 音频
settings_category.controls 控制
settings_category.misc 杂项
settings_category.keybinds 按键绑定
settings_category.cheats 作弊
settings_category.language 语言
settings_category.assets 资源包

permission.allow_noclip 允许穿墙
permission.allow_infinite_item 允许无限物品
permission.allow_creative_menu 允许创造菜单
permission.allow_godmode 允许无敌
permission.instant_break 瞬间破坏方块
permission.infinite_stamina 无限体力
permission.edit_adventure_blocks 允许编辑冒险模式方块
permission.enable_pvp 启用玩家PVP

control_hint.open_inventory 打开物品栏
control_hint.close_inventory 关闭物品栏
control_hint.close_menu 关闭菜单
control_hint.split_stack 取一半物品
control_hint.take_stack 取整组物品
control_hint.drop_one 丢弃一个物品
control_hint.drop_stack 丢弃整组物品
control_hint.craft_one 制作一个
control_hint.toggle_creative 切换创造菜单
control_hint.use 使用
control_hint.use_item 使用物品
control_hint.place_item 放置物品
control_hint.punch 攻击
control_hint.unequip 卸下
control_hint.equip 装备
control_hint.change_shape 切换形状
control_hint.show_recipes 显示配方

keybind.move_forward 前进
keybind.move_backward 后退
keybind.move_left 左移
keybind.move_right 右移
keybind.fly_down 下降
keybind.fly_up 飞升
keybind.jump 跳跃
keybind.noclip 穿墙
keybind.place 放置 / 使用
keybind.punch 攻击
keybind.place_modifier 放置修饰键
keybind.open_inventory 打开物品栏
keybind.toggle_creative_menu 切换创造菜单
keybind.drop_item 丢弃
keybind.drop_modifier 丢弃修饰键
keybind.pause 暂停
keybind.ui_confirm UI确认
keybind.ui_secondary UI次要
keybind.toggle_debug 切换调试叠加层
keybind.toggle_profiler 切换分析器叠加层
keybind.toggle_fullscreen 切换全屏
keybind.ui_up UI 上
keybind.ui_down UI 下
keybind.ui_left UI 左
keybind.ui_right UI 右
keybind.hotbar1 热键栏 1
keybind.hotbar2 热键栏 2
keybind.hotbar3 热键栏 3
keybind.hotbar4 热键栏 4
keybind.hotbar5 热键栏 5
keybind.hotbar6 热键栏 6
keybind.hotbar7 热键栏 7
keybind.hotbar8 热键栏 8
keybind.hotbar9 热键栏 9
keybind.hotbar10 热键栏 10
keybind.hotbar11 热键栏 11
keybind.hotbar12 热键栏 12
keybind.open_chat 开启聊天框
keybind.send_chat 发送消息
keybind.toggle_hud 切换 HUD
keybind.take_screenshot 截屏
keybind.open_radial 打开环状选择器
keybind.sneak 潜行（需要饰品）
keybind.sprint 疾跑（需要饰品）
keybind.show_use 展示物品用途
keybind.show_recipe 展示物品配方
keybind.pick_block 选取方块
keybind.scroll_up 上滚
keybind.scroll_down 下滚
keybind.favourite_item 收藏物品
keybind.fish_left 左收线
keybind.fish_right 右收线

ammo.arrow 箭矢
ammo.rock 岩石
ammo.bullet 弹夹
ammo.snowball 雪球

effect.poison 中毒
effect.desc.poison 持续受到伤害
effect.regen 再生
effect.desc.regen 持续缓慢恢复生命
effect.wet 潮湿
effect.desc.wet 你浑身湿透了
effect.slowfall 缓降
effect.desc.slowfall 下落速度变慢，且免疫掉落伤害
effect.fire 着火
effect.desc.fire 你着火了
effect.healcooldown 治疗耐药
effect.desc.healcooldown 必须等待片刻才能再次治疗
effect.freezing 冻伤
effect.desc.freezing 你正因寒冷而受到伤害
effect.fast 迅捷
effect.desc.fast 你移动得更快了
effect.slow 迟缓
effect.desc.slow 你移动得更慢了
effect.anchored 锚定
effect.desc.anchored 你被固定在原地
effect.frozen 冻结
effect.desc.frozen 你被冻结了
effect.watched 注视
effect.desc.watched ...
effect.flight 飞行
effect.desc.flight 允许进行短暂的飞行冲刺
effect.regen_potion 再生（药水）
effect.desc.regen_potion 你的生命正在缓慢恢复
effect.armoured 护甲强化
effect.desc.armoured 你的防御力提升了 4 点

effect.concussion 脑震荡
effect.desc.concussion 哎哟！移动速度降低了
effect.snack 点心
effect.desc.snack 你吃了点心，属性获得了微量提升
effect.small_meal 便餐
effect.desc.small_meal 你吃了便餐，属性获得了小幅提升
effect.webbed 蛛网缠身
effect.desc.webbed 你被蜘蛛网缠住了

effect.water_walking 水上行走
effect.desc.water_walking 你可以在水面上行走
effect.crate_potion 板条箱药水
effect.desc.crate_potion 钓上板条箱的几率提高

effect.fast_mining 急迫
effect.desc.fast_mining 提高挖掘速度

crafting_station.inventory 手工制作
crafting_station.work_bench 工作台
crafting_station.furnace 熔炉
crafting_station.anvil 铁砧
crafting_station.decorations 装饰台
crafting_station.potions 炼药台

loading.tip0 敌人只在自然方块上生成
loading.tip1 按下 'R' 查看物品的合成配方
loading.tip2 手持某些方块时按住 'R' 可切换形状
loading.tip3 如果让农田闲置，作物可能会发生变异
loading.tip4 小心地下和地牢中的陷阱
loading.tip5 铁轨可以倒着放，也可以贴墙放
loading.tip6 怪物并不害怕火把，他们仍然会生成
loading.tip7 使用重生锚来设置你的重生点
loading.tip8 迷路了可以使用回返药水回家
loading.tip9 按住 CTRL 时点击物品可将它们移至垃圾桶
loading.tip10 你可以将物品自动堆叠到附近的箱子里
loading.tip11 你可以整理你的物品栏
loading.tip12 部分武器可以用于格挡
loading.tip13 使用装饰台可以制作许多酷炫的物品
loading.tip14 利用燧石和工作台可以制作工具
loading.tip15 有一把好镐子是成功的关键
loading.tip16 有时，垂直下挖也不是不行。
loading.tip17 如果你发现了BUG，请在 Discord 上报告
loading.tip18 有反馈意见，可加入 Discord 讨论或填写反馈表单
loading.tip19 工具没有耐久度
loading.tip20 如果你放任花园里杂草四处生长，它们可能会发生变异……
loading.tip21 按 F11 切换全屏
loading.tip22 在 Boss 战中打篮球可能会有帮助
loading.tip23 心甜菜可以用来提高你的最大生命值
loading.tip24 爆炸箭矢在近战中非常危险
loading.tip25 作物只有浇水才会生长

colour.clear 清空
colour.white 白色
colour.grey 浅灰色
colour.dark_grey 深灰色
colour.black 黑色
colour.red 红色
colour.orange 橙色
colour.yellow 黄色
colour.lime 黄绿色
colour.green 绿色
colour.turqoise 蓝绿色
colour.blue 蓝色
colour.dark_blue 深蓝色
colour.purple 紫色
colour.pink 粉色
colour.light_pink 浅粉色
colour.brown 棕色
colour.algae 藻绿色
colour.moss 苔藓绿
colour.forest 森林绿
colour.ocean 海洋蓝
colour.mud 泥褐色
colour.clay 黏土色
colour.sand 沙黄色
colour.powder 粉白色
colour.none 无色
colour.orange_sherbet 橙子冰沙色
colour.lemon_yellow 柠檬黄色
colour.pale_yellow 淡黄色
colour.mint 薄荷绿色
colour.baby_blue 浅蓝色
colour.lavender 薰衣草紫
colour.pastel_pink 柔和粉色
